ImageNumber,ObjectNumber,Mean_Spots_Primary_Objects_Intensity_IntegratedIntensity_Spots_eroded,Mean_Spots_Primary_Objects_Number_Object_Number,Number_Object_Number,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
1,1,nan,nan,1,1,1,nan,0.0,0
1,2,0.06778057722840458,58.5,2,2,1,nan,0.0,0
1,3,nan,nan,3,3,1,nan,0.0,0
1,4,nan,nan,4,4,1,nan,0.0,0
1,5,nan,nan,5,5,1,nan,0.0,0
1,6,nan,nan,6,6,1,nan,0.0,0
1,7,nan,nan,7,7,1,nan,0.0,0
1,8,nan,nan,8,8,1,nan,0.0,0
1,9,nan,nan,9,9,1,nan,0.0,0
1,10,nan,nan,10,10,1,nan,0.0,0
1,11,nan,nan,11,11,1,nan,0.0,0
1,12,0.024444953072816133,136.0,12,12,1,nan,0.0,0
1,13,0.19364947427741505,153.45454545454547,13,13,1,nan,0.0,0
1,14,nan,nan,14,14,1,nan,0.0,0
1,15,0.25085679632029495,168.0,15,15,1,nan,0.0,0
1,16,0.11393301435746253,167.8,16,16,1,nan,0.0,0
1,17,0.03669576835818589,183.71428571428572,17,17,1,nan,0.0,0
1,18,nan,nan,18,18,1,nan,0.0,0
1,19,0.05433737696148455,227.0,19,19,1,nan,0.0,0
1,20,0.0727489129640162,222.6,20,20,1,nan,0.0,0
1,21,0.13020828561857342,228.2,21,21,1,nan,0.0,0
1,22,nan,nan,22,22,1,nan,0.0,0
1,23,0.011886778520420194,216.0,23,23,1,nan,0.0,0
1,24,0.02359044784680009,237.0,24,24,1,nan,0.0,0
1,25,nan,nan,25,25,1,nan,0.0,0
1,26,nan,nan,26,26,1,nan,0.0,0
1,27,0.26140993530862033,275.5,27,27,1,nan,0.0,0
1,28,0.0298161287792027,316.0,28,28,1,nan,0.0,0
1,29,nan,nan,29,29,1,nan,0.0,0
1,30,nan,nan,30,30,1,nan,0.0,0
1,31,0.019485771423205733,423.0,31,31,1,nan,0.0,0
1,32,0.2581460324116051,502.2,32,32,1,nan,0.0,0
2,1,0.16104677082039415,65.8,1,1,2,1.0,1.0,1
2,2,0.09797309470983843,134.66666666666666,2,2,2,1.0,1.0,2
2,3,nan,nan,3,2,2,1.0,1.0,2
2,4,nan,nan,4,3,2,1.0,1.0,3
2,5,nan,nan,5,4,2,1.0,1.0,4
2,6,nan,nan,6,5,2,1.0,1.0,5
2,7,nan,nan,7,33,1,nan,0.0,0
2,8,nan,nan,8,6,2,1.0,1.0,6
2,9,nan,nan,9,7,2,1.0,1.0,7
2,10,nan,nan,10,8,2,1.0,1.0,8
2,11,0.029953460209071636,210.0,11,9,2,1.0,1.0,9
2,12,nan,nan,12,10,2,1.0,1.0,10
2,13,nan,nan,13,11,2,1.0,1.0,11
2,14,0.011490043485537171,276.0,14,14,2,1.0,1.0,14
2,15,0.15867284785296457,259.125,15,13,2,1.0,1.0,13
2,16,0.057970550609752536,304.1,16,16,2,1.0,1.0,16
2,17,0.37151649506995454,281.0,17,15,2,1.0,1.0,15
2,18,nan,nan,18,17,2,1.0,1.0,17
2,19,nan,nan,19,18,2,1.0,1.0,18
2,20,nan,nan,20,19,2,1.0,1.0,19
2,21,0.04548714519478381,354.0,21,23,2,1.0,1.0,23
2,22,0.05603112889961763,365.27272727272725,22,20,2,1.0,1.0,20
2,23,0.16847791275940835,374.2,23,21,2,1.0,1.0,21
2,24,nan,nan,24,22,2,1.0,1.0,22
2,25,0.03677424229681492,385.0,25,24,2,1.0,1.0,24
2,26,nan,nan,26,23,2,1.0,1.0,23
2,27,nan,nan,27,34,1,nan,0.0,0
2,28,0.025426617125049233,435.0,28,25,2,1.0,1.0,25
2,29,nan,nan,29,26,2,1.0,1.0,26
2,30,0.05034714285284281,433.5,30,27,2,1.0,1.0,27
2,31,nan,nan,31,29,2,1.0,1.0,29
2,32,nan,nan,32,30,2,1.0,1.0,30
2,33,nan,nan,33,31,2,1.0,1.0,31
2,34,0.1789569126250332,713.4705882352941,34,32,2,1.0,1.0,32
2,35,nan,nan,35,35,1,nan,0.0,0
2,36,nan,nan,36,36,1,nan,0.0,0
3,1,0.25817273373831995,98.025,1,1,3,0.9879002746758431,2.0,1
3,2,nan,nan,2,2,3,0.9282020387502097,2.0,2
3,3,nan,nan,3,2,3,0.7816191679680474,2.0,3
3,4,nan,nan,4,3,3,0.9794385138534802,2.0,4
3,5,nan,nan,5,4,3,0.9985269882867576,2.0,5
3,6,0.06282139359973371,244.0,6,37,1,nan,0.0,0
